S,W_0,df
0.100000,1.000000,1.659000
0.200000,1.000000,1.681000
0.300000,1.000000,1.721000
0.500000,1.000000,1.749000
0.700000,1.000000,1.844000
0.900000,1.000000,1.862000
0.100000,0.900000,1.670000
0.200000,0.900000,1.709000
0.300000,0.900000,1.738000
0.500000,0.900000,1.761000
0.700000,0.900000,1.847000
0.900000,0.900000,1.883000
0.100000,0.800000,1.683000
0.200000,0.800000,1.724000
0.300000,0.800000,1.761000
0.500000,0.800000,1.782000
0.700000,0.800000,1.857000
0.900000,0.800000,1.884000
0.100000,0.700000,1.695000
0.200000,0.700000,1.759000
0.300000,0.700000,1.783000
0.500000,0.700000,1.794000
0.700000,0.700000,1.864000
0.900000,0.700000,1.886000
0.100000,0.600000,1.709000
0.200000,0.600000,1.776000
0.300000,0.600000,1.794000
0.500000,0.600000,1.806000
0.700000,0.600000,1.871000
0.900000,0.600000,1.888000
0.100000,0.500000,1.718000
0.200000,0.500000,1.780000
0.300000,0.500000,1.797000
0.500000,0.500000,1.809000
0.700000,0.500000,1.882000
0.900000,0.500000,1.897000
